state,date,rt,lower_90,upper_90,fips,cases,deaths
Georgia,2021-08-10,1.2,0.98,1.41,13,1204094.0,21154.0
Guam,2021-08-10,1.46,1.27,1.68,,9738.0,144.0
Hawaii,2021-08-10,1.09,1.0,1.17,15,45460.0,540.0
Idaho,2021-08-10,1.1,0.96,1.24,16,205866.0,2228.0
Illinois,2021-08-10,1.1,0.85,1.35,17,1451423.0,26034.0
Indiana,2021-08-10,1.22,0.99,1.44,18,791823.0,14091.0
Iowa,2021-08-10,1.12,0.91,1.34,19,385556.0,6193.0
Kansas,2021-08-10,1.3,1.11,1.55,20,343491.0,5356.0
Kentucky,2021-08-10,1.2,0.98,1.4,21,503875.0,7454.0
Louisiana,2021-08-10,1.0,0.85,1.15,22,596534.0,11353.0
Maine,2021-08-10,1.05,0.82,1.27,23,71666.0,901.0
Maryland,2021-08-10,1.08,1.04,1.13,24,475405.0,9869.0
Massachusetts,2021-08-10,1.09,0.85,1.34,25,730381.0,18112.0
Michigan,2021-08-10,1.27,1.0,1.55,26,1020169.0,21221.0
Minnesota,2021-08-10,1.16,0.91,1.39,27,620684.0,7798.0
Mississippi,2021-08-10,1.13,0.99,1.26,28,368549.0,7685.0
Missouri,2021-08-10,0.97,0.91,1.03,29,721795.0,10625.0
Montana,2021-08-10,1.15,0.95,1.35,30,118867.0,1726.0
Nebraska,2021-08-10,1.13,0.92,1.34,31,231916.0,2557.0
Nevada,2021-08-10,1.03,0.92,1.14,32,367709.0,6080.0
New Hampshire,2021-08-10,1.17,0.94,1.41,33,102205.0,1391.0
New Jersey,2021-08-10,1.1,1.03,1.17,34,1051712.0,26659.0
New Mexico,2021-08-10,1.16,1.03,1.28,35,215781.0,4432.0
New York,2021-08-10,1.06,1.01,1.12,36,2177918.0,53360.0
North Carolina,2021-08-10,1.14,0.92,1.35,37,1091376.0,13784.0
North Dakota,2021-08-10,1.23,1.16,1.29,38,112591.0,1573.0
Northern Mariana Islands,2021-08-10,0.99,0.61,1.33,,210.0,2.0
Ohio,2021-08-10,1.16,1.08,1.25,39,1145925.0,20580.0
Oklahoma,2021-08-10,1.05,0.93,1.17,40,501353.0,7531.0
Oregon,2021-08-10,1.21,1.0,1.42,41,232436.0,2937.0
Pennsylvania,2021-08-10,1.14,1.0,1.28,42,1244753.0,27914.0
Puerto Rico,2021-08-10,0.99,0.88,1.1,,186454.0,2620.0
Rhode Island,2021-08-10,1.11,0.88,1.32,44,156539.0,2744.0
South Carolina,2021-08-10,1.11,0.83,1.37,45,645859.0,9992.0
South Dakota,2021-08-10,1.81,1.42,2.27,46,125592.0,2050.0
Tennessee,2021-08-10,1.2,1.0,1.4,47,912164.0,12787.0
Texas,2021-08-10,1.04,0.93,1.14,48,3263345.0,53953.0
Utah,2021-08-10,1.06,0.95,1.18,49,441204.0,2511.0
Vermont,2021-08-10,1.4,1.17,1.65,50,25663.0,263.0
Virgin Islands,2021-08-10,1.51,1.17,1.97,,5066.0,41.0
Virginia,2021-08-10,1.18,0.98,1.37,51,711078.0,11578.0
Washington,2021-08-10,1.17,0.98,1.37,53,497771.0,6233.0
West Virginia,2021-08-10,1.25,0.97,1.53,54,170656.0,2972.0
Wisconsin,2021-08-10,1.03,0.75,1.31,55,699764.0,8311.0
Wyoming,2021-08-10,1.19,1.09,1.34,56,67326.0,793.0
Alabama,2021-08-24,1.11,0.58,1.73,01,665653.0,12000.0
Alaska,2021-08-24,1.15,0.67,1.67,02,83581.0,397.0
Arizona,2021-08-24,1.06,0.88,1.24,04,988714.0,18600.0
Arkansas,2021-08-24,1.02,0.74,1.28,05,436242.0,6704.0
California,2021-08-24,1.12,0.82,1.42,06,4341369.0,65160.0
Colorado,2021-08-24,1.14,0.94,1.36,08,606517.0,7246.0
Connecticut,2021-08-24,1.0,0.67,1.35,09,367410.0,8335.0
Delaware,2021-08-24,1.13,0.84,1.42,10,117051.0,1854.0
District of Columbia,2021-08-24,1.11,0.58,1.75,11,53898.0,1155.0
Florida,2021-08-24,1.26,0.81,1.8,12,3082733.0,42716.0
Georgia,2021-08-24,1.19,0.78,1.59,13,1298893.0,21543.0
Guam,2021-08-24,1.51,1.0,2.13,,10455.0,146.0
Hawaii,2021-08-24,1.01,0.77,1.24,15,54608.0,561.0
Idaho,2021-08-24,1.06,0.77,1.34,16,214123.0,2302.0
Illinois,2021-08-24,1.08,0.61,1.64,17,1495978.0,26275.0
Indiana,2021-08-24,1.22,0.82,1.68,18,828906.0,14263.0
Iowa,2021-08-24,1.11,0.73,1.47,19,395167.0,6226.0
Kansas,2021-08-24,1.8,1.07,3.99,20,359987.0,5522.0
Kentucky,2021-08-24,1.21,0.79,1.72,21,544574.0,7606.0
Louisiana,2021-08-24,0.98,0.67,1.3,22,660804.0,11977.0
Maine,2021-08-24,0.97,0.53,1.41,23,73659.0,924.0
Maryland,2021-08-24,1.03,0.86,1.23,24,488115.0,9948.0
Massachusetts,2021-08-24,1.08,0.59,1.69,25,747153.0,18179.0
Michigan,2021-08-24,1.24,0.72,1.81,26,1043294.0,21396.0
Minnesota,2021-08-24,1.13,0.68,1.6,27,635315.0,7860.0
Mississippi,2021-08-24,1.08,0.77,1.38,28,413498.0,8047.0
Missouri,2021-08-24,0.97,0.81,1.15,29,756277.0,10885.0
Montana,2021-08-24,1.14,0.75,1.59,30,123075.0,1760.0
Nebraska,2021-08-24,1.15,0.73,1.68,31,238305.0,2571.0
Nevada,2021-08-24,1.04,0.83,1.28,32,381766.0,6306.0
New Hampshire,2021-08-24,1.15,0.61,1.76,33,105302.0,1402.0
New Jersey,2021-08-24,1.1,0.86,1.4,34,1075930.0,26755.0
New Mexico,2021-08-24,1.12,0.85,1.39,35,225994.0,4483.0
New York,2021-08-24,0.98,0.79,1.18,36,2239183.0,53646.0
North Carolina,2021-08-24,1.12,0.71,1.55,37,1162214.0,14133.0
North Dakota,2021-08-24,1.22,0.98,1.5,38,114946.0,1582.0
Northern Mariana Islands,2021-08-24,0.96,0.29,1.74,,226.0,2.0
Ohio,2021-08-24,1.14,0.9,1.41,39,1183761.0,20689.0
Oklahoma,2021-08-24,1.04,0.78,1.31,40,530594.0,7676.0
Oregon,2021-08-24,1.2,0.78,1.62,41,257644.0,3056.0
Pennsylvania,2021-08-24,1.1,0.76,1.48,42,1274337.0,28076.0
Puerto Rico,2021-08-24,0.88,0.6,1.19,,198374.0,2742.0
Rhode Island,2021-08-24,1.05,0.61,1.53,44,160329.0,2757.0
South Carolina,2021-08-24,1.08,0.53,1.72,45,695489.0,10314.0
South Dakota,2021-08-24,1.85,1.03,2.95,46,128626.0,2057.0
Tennessee,2021-08-24,1.24,0.83,1.78,47,980507.0,13102.0
Texas,2021-08-24,0.98,0.72,1.26,48,3466970.0,55509.0
Utah,2021-08-24,1.06,0.9,1.25,49,454450.0,2584.0
Vermont,2021-08-24,1.59,0.96,2.55,50,27132.0,270.0
Virgin Islands,2021-08-24,1.86,1.13,3.43,,5605.0,45.0
Virginia,2021-08-24,1.18,0.82,1.57,51,741160.0,11675.0
Washington,2021-08-24,1.16,0.81,1.53,53,538206.0,6427.0
West Virginia,2021-08-24,1.32,0.62,2.3,54,180019.0,3016.0
Wisconsin,2021-08-24,1.01,0.39,1.78,55,718074.0,8373.0
Wyoming,2021-08-24,1.24,1.02,1.66,56,71562.0,809.0
Alabama,2021-09-06,1.11,0.58,1.73,01,,
Alaska,2021-09-06,1.15,0.67,1.67,02,,
Arizona,2021-09-06,1.06,0.88,1.24,04,,
Arkansas,2021-09-06,1.02,0.74,1.28,05,,
California,2021-09-06,1.12,0.82,1.42,06,,
Colorado,2021-09-06,1.14,0.94,1.36,08,,
Connecticut,2021-09-06,1.0,0.67,1.35,09,,
Delaware,2021-09-06,1.13,0.84,1.42,10,,
District of Columbia,2021-09-06,1.11,0.58,1.75,11,,
Florida,2021-09-06,1.26,0.81,1.8,12,,
Georgia,2021-09-06,1.19,0.78,1.59,13,,
Guam,2021-09-06,1.51,1.0,2.13,,,
Hawaii,2021-09-06,1.01,0.77,1.24,15,,
Idaho,2021-09-06,1.06,0.77,1.34,16,,
Illinois,2021-09-06,1.08,0.61,1.64,17,,
Indiana,2021-09-06,1.22,0.82,1.68,18,,
Iowa,2021-09-06,1.11,0.73,1.47,19,,
Kansas,2021-09-06,1.8,1.07,3.99,20,,
Kentucky,2021-09-06,1.21,0.79,1.72,21,,
Louisiana,2021-09-06,0.98,0.67,1.3,22,,
Maine,2021-09-06,0.97,0.53,1.41,23,,
Maryland,2021-09-06,1.03,0.86,1.23,24,,
Massachusetts,2021-09-06,1.08,0.59,1.69,25,,
Michigan,2021-09-06,1.24,0.72,1.81,26,,
Minnesota,2021-09-06,1.13,0.68,1.6,27,,
Mississippi,2021-09-06,1.08,0.77,1.38,28,,
Missouri,2021-09-06,0.97,0.81,1.15,29,,
Montana,2021-09-06,1.14,0.75,1.59,30,,
Nebraska,2021-09-06,1.15,0.73,1.68,31,,
Nevada,2021-09-06,1.04,0.83,1.28,32,,
New Hampshire,2021-09-06,1.15,0.61,1.76,33,,
New Jersey,2021-09-06,1.1,0.86,1.4,34,,
New Mexico,2021-09-06,1.12,0.85,1.39,35,,
New York,2021-09-06,0.98,0.79,1.18,36,,
North Carolina,2021-09-06,1.12,0.71,1.55,37,,
North Dakota,2021-09-06,1.22,0.98,1.5,38,,
Northern Mariana Islands,2021-09-06,0.96,0.29,1.74,,,
Ohio,2021-09-06,1.14,0.9,1.41,39,,
Oklahoma,2021-09-06,1.04,0.78,1.31,40,,
Oregon,2021-09-06,1.2,0.78,1.62,41,,
Pennsylvania,2021-09-06,1.1,0.76,1.48,42,,
Puerto Rico,2021-09-06,0.88,0.6,1.19,,,
Rhode Island,2021-09-06,1.05,0.61,1.53,44,,
South Carolina,2021-09-06,1.08,0.53,1.72,45,,
South Dakota,2021-09-06,1.85,1.03,2.95,46,,
Tennessee,2021-09-06,1.24,0.83,1.78,47,,
Texas,2021-09-06,0.98,0.72,1.26,48,,
Utah,2021-09-06,1.06,0.9,1.25,49,,
Vermont,2021-09-06,1.59,0.96,2.55,50,,
Virgin Islands,2021-09-06,1.86,1.13,3.43,,,
Virginia,2021-09-06,1.18,0.82,1.57,51,,
Washington,2021-09-06,1.16,0.81,1.53,53,,
West Virginia,2021-09-06,1.32,0.62,2.3,54,,
Wisconsin,2021-09-06,1.01,0.39,1.78,55,,
Wyoming,2021-09-06,1.24,1.02,1.66,56,,
